132303, 159995599, 43873079, 144077663, 123, 537, 119
110786, 16866192, 346660438, 665606906, 90, 88, 144
2935372, 205679256, 82634946, 346444970, 24, 28, 32
803068, 720165948, 46372718, 29204568, 90, 86, 96
70810, 275081872, 263405578, 1153354964, 2, 422, 180
108239, 749564861, 47429775, 336459129, 183, 3, 235
43402, 139446098, 45195002, 599219038, 122, 538, 534
50006, 836995318, 545374, 62216796, 152, 392, 200
1659687, 507259855, 137291757, 447090923, 233, 187, 233
63253, 178772237, 36866169, 230451283, 447, 23, 79
308707, 150757865, 95479425, 265231195, 87, 97, 89
96369, 204008805, 255801887, 226896405, 181, 1, 185
28539, 4539143, 252973527, 303410107, 1, 1, 239
369335, 76228735, 49197463, 13729859, 3, 1, 419
47940, 412478048, 196021976, 299237736, 0, 60, 4
665028, 84314924, 65628946, 375887002, 94, 90, 92
141501, 159270775, 434937341, 41689063, 63, 61, 65
217328, 82183242, 88824252, 29998076, 114, 118, 112
251599, 14529133, 16550329, 56852319, 117, 355, 117
412242, 155957116, 26327436, 145227266, 90, 90, 92
136995, 178771639, 19290231, 251164195, 25, 207, 81
19552, 871963312, 27432768, 1266477868, 200, 208, 442
744496, 840554400, 4347104, 76975852, 212, 158, 208
1007047, 8764951, 256337323, 26897773, 113, 67, 299
246457, 440996337, 70590415, 969997345, 593, 5, 55
73825, 158114075, 9603369, 18784413, 87, 509, 147
575084, 169924978, 102536488, 5026876, 120, 118, 352
107859, 388105007, 119317427, 15754789, 91, 95, 141
139552, 88300376, 57602426, 714289656, 622, 210, 30
104331, 345475761, 82856749, 79926183, 91, 93, 273
3369, 76302681, 104802621, 132864169, 443, 209, 153
23551, 22219063, 37545375, 895468753, 207, 211, 27
380769, 91164237, 19560281, 808582351, 89, 93, 511
147146, 1276901434, 77531222, 10589990, 98, 90, 88
82312, 1159080, 38235268, 5315636, 392, 24, 808
865846, 248885942, 207843842, 290959500, 118, 114, 356
668166, 614429588, 372424318, 71564926, 488, 66, 114
1462, 64845380, 250279546, 285398414, 22, 206, 24
18597, 552561347, 212298349, 262101885, 277, 329, 87
608307, 380441255, 161903865, 79721159, 89, 273, 511
195293, 852166069, 139619843, 179335223, 115, 65, 113
111587, 358698569, 34816941, 59105779, 55, 1, 239
35013, 903665, 20845187, 45419355, 561, 329, 89
121293, 594323969, 133973549, 892083525, 89, 93, 87
351875, 10226443, 368443917, 121341075, 23, 25, 29
20273, 101714799, 134205685, 195268647, 979, 91, 91
88154, 138117508, 234697276, 214266658, 92, 88, 276
359780, 382895936, 114718322, 625532112, 722, 168, 66
391934, 81572852, 21384096, 156338390, 326, 90, 90
146545, 39301601, 4168645, 64237937, 93, 89, 145
